#event_id,pid,pt [GeV],eta,phi,E [GeV],mass [GeV],v_true
1,90,275.307,1.23698,0.216467,514.897,26.8436,0
1,13,85.4853,1.06631,-2.83528,138.868,0.10566,0
2,90,273.693,1.30158,2.65652,549.338,99.9804,0
2,13,96.3014,0.349546,0.107411,102.245,0.10566,0
3,90,278.018,-1.06511,0.545099,451.229,5.02462,1
3,13,27.0794,1.51829,-1.69606,64.767,0.10566,0
4,90,294.665,1.18866,2.16861,530.305,43.3981,0
4,11,176.991,-0.236178,-0.769375,181.95,0.000511,0
5,90,493.785,-1.49696,-1.31039,1161.17,80.2452,1
5,11,38.1584,-1.56873,-1.32481,95.5647,0.000511,0
6,90,381.088,0.795596,1.34044,516.01,89.4656,1
6,90,396.363,-0.619633,-1.55695,474.929,3.07611,0
6,11,395.221,-0.619465,-1.55679,473.507,0.000511,0
7,90,317.635,0.297949,0.631982,333.759,35.7545,0
7,90,324.664,0.526981,-2.86158,371.029,13.0925,1
7,11,45.9657,1.89175,1.16077,155.864,0.000511,0
8,90,464.266,-0.0531355,0.219324,465.049,10.8569,0
8,11,134.092,0.0783595,-2.68467,134.504,0.000511,0
9,90,303.541,1.74097,1.16414,892.772,33.628,0
9,11,31.8567,1.86045,-2.48866,104.844,0.000511,0
10,90,308.721,0.0977046,-0.512092,310.196,0.000511005,0
10,90,322.913,1.92161,2.80881,1128.51,63.9095,1
10,11,308.721,0.0977046,-0.512092,310.196,0.000511,0
11,90,283.84,0.236454,-1.87035,292.91,25.3364,0
11,13,43.9685,0.147782,-2.8312,44.4497,0.10566,0
12,90,261.234,-0.930862,-0.977294,392.154,85.0202,1
12,13,53.2192,1.41575,2.24049,116.08,0.10566,0
13,90,533.927,-0.503146,2.27809,603.101,13.5822,0
13,13,164.476,-1.11461,-0.667221,277.671,0.10566,0
14,90,314.457,1.61999,-0.827819,830.385,89.038,1
14,11,94.2383,0.570648,2.26426,110.003,0.000511,0
15,90,336.912,1.67343,-1.7233,938.273,127.705,1
15,11,47.7128,2.13318,-2.14592,204.215,0.000511,0
16,90,345.024,0.124061,1.87331,358.734,88.3561,1
16,13,288.036,2.32739,-1.18341,1490.4,0.10566,0
17,90,278.292,1.183,-2.15946,501.985,71.8114,0
17,11,77.1603,-0.173291,0.782761,78.3218,0.000511,0
18,90,295.807,0.00848862,-3.02272,296.469,19.636,0
18,13,107.956,0.312823,0.127153,113.281,0.10566,0
19,90,338.208,1.33125,-1.8302,684.982,12.9681,0
19,11,107.96,0.228338,1.67439,110.787,0.000511,0
20,90,296.486,-0.383691,-0.900245,329.783,85.2279,1
20,90,365.356,-1.47707,2.27437,841.857,0.000511087,0
20,11,365.356,-1.47707,2.27437,841.857,0.000511,0
21,90,252.318,1.01294,1.05577,403.033,88.4065,1
21,13,121.941,1.79074,-2.41819,375.62,0.10566,0
22,90,1026.01,-0.149954,0.453257,1058.76,210.792,0
